bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
Island Place Tower,NORTH POINT,482160,20090,482160,24,22.2914596,114.2030318,1.0,4.0,20.0
Island Place Tower,NORTH POINT,482160,20090,482160,24,22.2914596,114.2030318,1.0,4.0,20.0
Times Square - Tower 2,CAUSEWAY BAY,481344,10028,481344,48,22.278151,114.1821136,12.0,20.0,20.0
Berkshire House,QUARRY BAY,480690,13734,480690,35,22.2876231,114.2133236,6.0,5.0,7.0
The Center,CENTRAL,480550,6865,480550,70,22.2846202,114.1547347,3.0,17.0,20.0
Berkshire House,QUARRY BAY,479325,13695,479325,35,22.2876231,114.2133236,6.0,5.0,7.0
"Pacific Place, Six",WAN CHAI,474975,6333,474975,75,22.2769704,114.1689714,4.0,12.0,20.0
Man Yee Building,CENTRAL,472530,4974,472530,95,22.2835772,114.1561146,19.0,6.0,20.0
Ho Lee Commercial Building,CENTRAL,470400,9800,470400,48,,,,,
Convention Plaza Office Tower,WAN CHAI,470350,9407,470350,50,22.2809259,114.1740414,0.0,4.0,14.0
Three Garden Road - Champion Tower,CENTRAL,466767,5019,466767,93,22.2784355,114.160606,1.0,4.0,10.0
Millennium City 6,KWUN TONG,462159,17117,462159,27,22.3103686,114.2227035,7.0,4.0,20.0
Millennium City 6,KWUN TONG,462159,17117,462159,27,22.3103686,114.2227035,7.0,4.0,20.0
Millennium City 6,KWUN TONG,462159,17117,462159,27,22.3103686,114.2227035,7.0,4.0,20.0
International Commerce Centre (ICC),TSIM SHA TSUI,459382,5966,459382,77,22.3034032,114.1601907,1.0,3.0,13.0
Hopewell Centre,WAN CHAI,456000,9500,456000,48,22.2746386,114.1717253,3.0,10.0,20.0
One Island South,WONG CHUK HANG,454752,18948,454752,24,22.2459198,114.1664957,0.0,1.0,3.0
Coda Commercial Building,CENTRAL,450009,2100,450009,214,22.2799907,114.1587983,1.0,7.0,17.0
Sunshine Plaza,WAN CHAI,449966,14821,449966,30,22.2794665,114.1787996,7.0,3.0,20.0
Central Plaza,WAN CHAI,446936,7981,446936,56,22.2799097,114.1737282,0.0,0.0,0.0
Cheung Kong Center,CENTRAL,446125,3569,446125,125,22.2794704,114.1603101,0.0,2.0,4.0
World Trade Centre,CAUSEWAY BAY,445648,9688,445648,46,22.2815279,114.1842189,2.0,14.0,20.0
COFCO Tower,CAUSEWAY BAY,440135,4633,440135,95,22.2815626,114.1828848,3.0,11.0,20.0
Mirror Tower,TSIM SHA TSUI,438022,14240,438022,30,22.297553,114.176456,1.0,3.0,20.0
H Code,CENTRAL,437290,6247,437290,70,22.2821827,114.1542985,17.0,18.0,20.0
Allied Kajima Building,WAN CHAI,437276,9506,437276,46,22.2792687,114.176401,3.0,4.0,16.0
Bank of America Tower,CENTRAL,435850,8717,435850,50,,,,,
Lucky Centre,WAN CHAI,432192,13506,432192,32,22.2768993,114.1770513,2.0,4.0,20.0
Berkshire House,QUARRY BAY,431904,13497,431904,32,22.2876231,114.2133236,6.0,5.0,7.0
Central Plaza,WAN CHAI,430696,7691,430696,56,22.2799097,114.1737282,0.0,0.0,0.0
Millennium City 1 - Tower 01,KWUN TONG,427837,14753,427837,29,22.3136835,114.2212449,1.0,3.0,20.0
Great Eagle Centre,WAN CHAI,426910,7762,426910,55,22.28092,114.175095,0.0,6.0,20.0
PCCW Tower,QUARRY BAY,426700,8534,426700,50,22.2871707,114.2121915,6.0,8.0,20.0
Sun Hung Kai Centre,WAN CHAI,424204,6842,424204,62,22.2804582,114.1768125,0.0,3.0,20.0
"Observatory Road, 8",TSIM SHA TSUI,422210,10635,422210,39,22.30117,114.17572,1.0,6.0,20.0
Nan Fung Tower,SHEUNG WAN,422010,9378,422010,45,22.2863943,114.1491375,5.0,3.0,20.0
Landmark South,WONG CHUK HANG,420150,14005,420150,30,22.249265,114.167138,2.0,2.0,7.0
Man Yee Building,CENTRAL,419490,4661,419490,90,22.2835772,114.1561146,19.0,6.0,20.0
"King's Road, 1063",QUARRY BAY,418152,11004,418152,38,22.2849855,114.213756,6.0,4.0,11.0
"King's Road, 1063",QUARRY BAY,418152,11004,418152,38,22.2849855,114.213756,6.0,4.0,11.0
"King's Road, 1063",QUARRY BAY,418152,11004,418152,38,22.2849855,114.213756,6.0,4.0,11.0
Three Garden Road - ICBC Tower,CENTRAL,418035,4495,418035,93,22.2783737,114.1609727,1.0,3.0,10.0
Central Plaza,WAN CHAI,416900,7580,416900,55,22.2799097,114.1737282,0.0,0.0,0.0
Grand Century Place - Tower II,MONG KOK / TAI KOK TSUI,415872,11552,415872,36,22.3198474,114.1620857,0.0,6.0,20.0
Nexxus Building,CENTRAL,415440,5770,415440,72,22.2842258,114.1565212,3.0,7.0,20.0
Central Plaza,WAN CHAI,410696,7898,410696,52,22.2799097,114.1737282,0.0,0.0,0.0
Millennium City 6,KWUN TONG,408450,13615,408450,30,22.3103686,114.2227035,7.0,4.0,20.0
"Observatory Road, 8",TSIM SHA TSUI,408047,10420,408047,39,22.30117,114.17572,1.0,6.0,20.0
Two Harbour Square,KWUN TONG,406392,14514,406392,28,22.3097058,114.2212389,2.0,4.0,13.0
The Tonnochy,WAN CHAI,404012,16154,404012,25,22.2790556,114.1776685,8.0,2.0,20.0
Dah Sing Financial Centre,WAN CHAI,402382,10589,402382,38,22.2747521,114.1735215,2.0,8.0,20.0
Two Harbour Square,KWUN TONG,399532,14269,399532,28,22.3097058,114.2212389,2.0,4.0,13.0
Convention Plaza Office Tower,WAN CHAI,398208,8296,398208,48,22.2809259,114.1740414,0.0,4.0,14.0
Cheung Kong Center,CENTRAL,397410,3057,397410,130,22.2794704,114.1603101,0.0,2.0,4.0
Tak Shing House,CENTRAL,390804,4492,390804,87,22.2822268,114.157196,7.0,3.0,20.0
Island Place Tower,NORTH POINT,388492,12532,388492,31,22.2914596,114.2030318,1.0,4.0,20.0
