bldg_name,district,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m,nearest_mtr_distance_m,nearest_mtr_name,stations_within_1km
Three Garden Road - Champion Tower,CENTRAL,10011,931023,93,22.28,114.16,1,4,10,420.98,Admiralty,3
V Heun Building,CENTRAL,22833,913320,40,22.28,114.15,10,11,20,376.81,Sheung Wan,3
K11 Atelier King's Road,QUARRY BAY,20190,908550,45,22.29,114.21,1,1,20,56.51,Quarry Bay,2
Lippo Centre - Tower 1,ADMIRALTY,18050,902500,50,22.28,114.16,0,3,17,94.54,Admiralty,4
Peninsula Centre,TSIM SHA TSUI,48000,879840,18,22.3,114.18,0,3,20,505.39,East Tsim Sha Tsui,4
Central Crossing,CENTRAL,10557,876231,83,22.28,114.15,11,13,20,382.0,Central,3
"Grand Plaza Office Tower, One",MONG KOK / TAI KOK TSUI,17422,871100,50,22.32,114.17,5,8,20,121.34,Mong Kok,4
Central Crossing,CENTRAL,10557,865674,82,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,865674,82,22.28,114.15,11,13,20,382.0,Central,3
Man Yee Building,CENTRAL,9091,863645,95,22.28,114.16,19,6,20,218.65,Hong Kong,4
Times Square - Tower 2,CAUSEWAY BAY,19484,857296,44,22.28,114.18,12,20,20,389.79,Causeway Bay,3
Times Square - Tower 1,CAUSEWAY BAY,17283,846867,49,22.28,114.18,12,20,20,389.79,Causeway Bay,3
Central Crossing,CENTRAL,10557,844560,80,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,844560,80,22.28,114.15,11,13,20,382.0,Central,3
Two Harbour Square,KWUN TONG,29735,832580,28,22.31,114.22,2,4,13,625.92,Ngau Tau Kok,2
Central Crossing,CENTRAL,10557,823446,78,22.28,114.15,11,13,20,382.0,Central,3
"Harbourfront, Two",HUNG HOM / TO KWA WAN,22671,816156,36,22.32,114.19,0,0,14,87.56,To Kwa Wan,1
Central Crossing,CENTRAL,10557,791775,75,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,791775,75,22.28,114.15,11,13,20,382.0,Central,3
International Commerce Centre (ICC),TSIM SHA TSUI,10112,788736,78,22.3,114.16,1,3,13,165.93,Kowloon,2
Cosco Tower,SHEUNG WAN,15647,766703,49,22.29,114.15,10,10,20,152.08,Sheung Wan,3
Central Plaza,WAN CHAI,13898,764390,55,22.28,114.17,0,0,0,225.69,Exhibition Centre,3
Nexxus Building,CENTRAL,10167,762525,75,22.28,114.16,3,7,20,158.81,Hong Kong,4
Fairmont House,CENTRAL,9641,762507,79,22.28,114.16,1,2,10,205.02,Admiralty,3
China Resources Building,WAN CHAI,13860,762300,55,22.28,114.18,0,0,5,193.52,Exhibition Centre,2
"Peninsula Office Tower, The",TSIM SHA TSUI,11210,762280,68,22.3,114.17,2,6,20,290.63,East Tsim Sha Tsui,2
"Peninsula Office Tower, The",TSIM SHA TSUI,11210,762280,68,22.3,114.17,2,6,20,290.63,East Tsim Sha Tsui,2
Central Crossing,CENTRAL,10557,760104,72,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,760104,72,22.28,114.15,11,13,20,382.0,Central,3
